c0	1500	c20	1500	0.01
c0	1500	c1	1500	0.01
c1	1500	c21	1500	0.01
c1	1500	c2	1500	0.01
c2	1500	c22	1500	0.01
c2	1500	c3	1500	0.01
c3	1500	c23	1500	0.01
c3	1500	c4	1500	0.01
c4	1500	c24	1500	0.01
c4	1500	c5	1500	0.01
c5	1500	c25	1500	0.01
c5	1500	c6	1500	0.01
c6	1500	c26	1500	0.01
c6	1500	c7	1500	0.01
c7	1500	c27	1500	0.01
c7	1500	c8	1500	0.01
c8	1500	c28	1500	0.01
c8	1500	c9	1500	0.01
c9	1500	c29	1500	0.01
c9	1500	c10	1500	0.01
c10	1500	c30	1500	0.01
c10	1500	c11	1500	0.01
c11	1500	c31	1500	0.01
c11	1500	c12	1500	0.01
c12	1500	c32	1500	0.01
c12	1500	c13	1500	0.01
c13	1500	c33	1500	0.01
c13	1500	c14	1500	0.01
c14	1500	c34	1500	0.01
c14	1500	c15	1500	0.01
c15	1500	c35	1500	0.01
c15	1500	c16	1500	0.01
c16	1500	c36	1500	0.01
c16	1500	c17	1500	0.01
c17	1500	c37	1500	0.01
c17	1500	c18	1500	0.01
c18	1500	c38	1500	0.01
c18	1500	c19	1500	0.01
c19	1500	c39	1500	0.01
c20	1500	c40	1500	0.01
c20	1500	c21	1500	0.01
c21	1500	c41	1500	0.01
c21	1500	c22	1500	0.01
c22	1500	c42	1500	0.01
c22	1500	c23	1500	0.01
c23	1500	c43	1500	0.01
c23	1500	c24	1500	0.01
c24	1500	c44	1500	0.01
c24	1500	c25	1500	0.01
c25	1500	c45	1500	0.01
c25	1500	c26	1500	0.01
c26	1500	c46	1500	0.01
c26	1500	c27	1500	0.01
c27	1500	c47	1500	0.01
c27	1500	c28	1500	0.01
c28	1500	c48	1500	0.01
c28	1500	c29	1500	0.01
c29	1500	c49	1500	0.01
c29	1500	c30	1500	0.01
c30	1500	c50	1500	0.01
c30	1500	c31	1500	0.01
c31	1500	c51	1500	0.01
c31	1500	c32	1500	0.01
c32	1500	c52	1500	0.01
c32	1500	c33	1500	0.01
c33	1500	c53	1500	0.01
c33	1500	c34	1500	0.01
c34	1500	c54	1500	0.01
c34	1500	c35	1500	0.01
c35	1500	c55	1500	0.01
c35	1500	c36	1500	0.01
c36	1500	c56	1500	0.01
c36	1500	c37	1500	0.01
c37	1500	c57	1500	0.01
c37	1500	c38	1500	0.01
c38	1500	c58	1500	0.01
c38	1500	c39	1500	0.01
c39	1500	c59	1500	0.01
c40	1500	c60	1500	0.01
c40	1500	c41	1500	0.01
c41	1500	c61	1500	0.01
c41	1500	c42	1500	0.01
c42	1500	c62	1500	0.01
c42	1500	c43	1500	0.01
c43	1500	c63	1500	0.01
c43	1500	c44	1500	0.01
c44	1500	c64	1500	0.01
c44	1500	c45	1500	0.01
c45	1500	c65	1500	0.01
c45	1500	c46	1500	0.01
c46	1500	c66	1500	0.01
c46	1500	c47	1500	0.01
c47	1500	c67	1500	0.01
c47	1500	c48	1500	0.01
c48	1500	c68	1500	0.01
c48	1500	c49	1500	0.01
c49	1500	c69	1500	0.01
c49	1500	c50	1500	0.01
c50	1500	c70	1500	0.01
c50	1500	c51	1500	0.01
c51	1500	c71	1500	0.01
c51	1500	c52	1500	0.01
c52	1500	c72	1500	0.01
c52	1500	c53	1500	0.01
c53	1500	c73	1500	0.01
c53	1500	c54	1500	0.01
c54	1500	c74	1500	0.01
c54	1500	c55	1500	0.01
c55	1500	c75	1500	0.01
c55	1500	c56	1500	0.01
c56	1500	c76	1500	0.01
c56	1500	c57	1500	0.01
c57	1500	c77	1500	0.01
c57	1500	c58	1500	0.01
c58	1500	c78	1500	0.01
c58	1500	c59	1500	0.01
c59	1500	c79	1500	0.01
c60	1500	c80	1500	0.01
c60	1500	c61	1500	0.01
c61	1500	c81	1500	0.01
c61	1500	c62	1500	0.01
c62	1500	c82	1500	0.01
c62	1500	c63	1500	0.01
c63	1500	c83	1500	0.01
c63	1500	c64	1500	0.01
c64	1500	c84	1500	0.01
c64	1500	c65	1500	0.01
c65	1500	c85	1500	0.01
c65	1500	c66	1500	0.01
c66	1500	c86	1500	0.01
c66	1500	c67	1500	0.01
c67	1500	c87	1500	0.01
c67	1500	c68	1500	0.01
c68	1500	c88	1500	0.01
c68	1500	c69	1500	0.01
c69	1500	c89	1500	0.01
c69	1500	c70	1500	0.01
c70	1500	c90	1500	0.01
c70	1500	c71	1500	0.01
c71	1500	c91	1500	0.01
c71	1500	c72	1500	0.01
c72	1500	c92	1500	0.01
c72	1500	c73	1500	0.01
c73	1500	c93	1500	0.01
c73	1500	c74	1500	0.01
c74	1500	c94	1500	0.01
c74	1500	c75	1500	0.01
c75	1500	c95	1500	0.01
c75	1500	c76	1500	0.01
c76	1500	c96	1500	0.01
c76	1500	c77	1500	0.01
c77	1500	c97	1500	0.01
c77	1500	c78	1500	0.01
c78	1500	c98	1500	0.01
c78	1500	c79	1500	0.01
c79	1500	c99	1500	0.01
c80	1500	c100	1500	0.01
c80	1500	c81	1500	0.01
c81	1500	c101	1500	0.01
c81	1500	c82	1500	0.01
c82	1500	c102	1500	0.01
c82	1500	c83	1500	0.01
c83	1500	c103	1500	0.01
c83	1500	c84	1500	0.01
c84	1500	c104	1500	0.01
c84	1500	c85	1500	0.01
c85	1500	c105	1500	0.01
c85	1500	c86	1500	0.01
c86	1500	c106	1500	0.01
c86	1500	c87	1500	0.01
c87	1500	c107	1500	0.01
c87	1500	c88	1500	0.01
c88	1500	c108	1500	0.01
c88	1500	c89	1500	0.01
c89	1500	c109	1500	0.01
c89	1500	c90	1500	0.01
c90	1500	c110	1500	0.01
c90	1500	c91	1500	0.01
c91	1500	c111	1500	0.01
c91	1500	c92	1500	0.01
c92	1500	c112	1500	0.01
c92	1500	c93	1500	0.01
c93	1500	c113	1500	0.01
c93	1500	c94	1500	0.01
c94	1500	c114	1500	0.01
c94	1500	c95	1500	0.01
c95	1500	c115	1500	0.01
c95	1500	c96	1500	0.01
c96	1500	c116	1500	0.01
c96	1500	c97	1500	0.01
c97	1500	c117	1500	0.01
c97	1500	c98	1500	0.01
c98	1500	c118	1500	0.01
c98	1500	c99	1500	0.01
c99	1500	c119	1500	0.01
c100	1500	c120	1500	0.01
c100	1500	c101	1500	0.01
c101	1500	c121	1500	0.01
c101	1500	c102	1500	0.01
c102	1500	c122	1500	0.01
c102	1500	c103	1500	0.01
c103	1500	c123	1500	0.01
c103	1500	c104	1500	0.01
c104	1500	c124	1500	0.01
c104	1500	c105	1500	0.01
c105	1500	c125	1500	0.01
c105	1500	c106	1500	0.01
c106	1500	c126	1500	0.01
c106	1500	c107	1500	0.01
c107	1500	c127	1500	0.01
c107	1500	c108	1500	0.01
c108	1500	c128	1500	0.01
c108	1500	c109	1500	0.01
c109	1500	c129	1500	0.01
c109	1500	c110	1500	0.01
c110	1500	c130	1500	0.01
c110	1500	c111	1500	0.01
c111	1500	c131	1500	0.01
c111	1500	c112	1500	0.01
c112	1500	c132	1500	0.01
c112	1500	c113	1500	0.01
c113	1500	c133	1500	0.01
c113	1500	c114	1500	0.01
c114	1500	c134	1500	0.01
c114	1500	c115	1500	0.01
c115	1500	c135	1500	0.01
c115	1500	c116	1500	0.01
c116	1500	c136	1500	0.01
c116	1500	c117	1500	0.01
c117	1500	c137	1500	0.01
c117	1500	c118	1500	0.01
c118	1500	c138	1500	0.01
c118	1500	c119	1500	0.01
c119	1500	c139	1500	0.01
c120	1500	c140	1500	0.01
c120	1500	c121	1500	0.01
c121	1500	c141	1500	0.01
c121	1500	c122	1500	0.01
c122	1500	c142	1500	0.01
c122	1500	c123	1500	0.01
c123	1500	c143	1500	0.01
c123	1500	c124	1500	0.01
c124	1500	c144	1500	0.01
c124	1500	c125	1500	0.01
c125	1500	c145	1500	0.01
c125	1500	c126	1500	0.01
c126	1500	c146	1500	0.01
c126	1500	c127	1500	0.01
c127	1500	c147	1500	0.01
c127	1500	c128	1500	0.01
c128	1500	c148	1500	0.01
c128	1500	c129	1500	0.01
c129	1500	c149	1500	0.01
c129	1500	c130	1500	0.01
c130	1500	c150	1500	0.01
c130	1500	c131	1500	0.01
c131	1500	c151	1500	0.01
c131	1500	c132	1500	0.01
c132	1500	c152	1500	0.01
c132	1500	c133	1500	0.01
c133	1500	c153	1500	0.01
c133	1500	c134	1500	0.01
c134	1500	c154	1500	0.01
c134	1500	c135	1500	0.01
c135	1500	c155	1500	0.01
c135	1500	c136	1500	0.01
